pokedex_number,name,generation,is_legendary,classification,type1,type2,height_m,weight_kg,ability_1,ability_2,ability_hidden,base_total,hp,attack,defense,sp_attack,sp_defense,speed,capture_rate,base_happiness,experience_growth,percentage_male,base_egg_steps
1,Bulbasaur,1,0,Seed Pokémon,Grass,Poison,0.7,6.9,Overgrow,,Chlorophyll,318,45,49,49,65,65,45,45,70,1059860,88.1,5120
2,Ivysaur,1,0,Seed Pokémon,Grass,Poison,1,13,Overgrow,,Chlorophyll,405,60,62,63,80,80,60,45,70,1059860,88.1,5120
3,Venusaur,1,0,Seed Pokémon,Grass,Poison,2,100,Overgrow,,Chlorophyll,525,80,82,83,100,100,80,45,70,1059860,88.1,5120
4,Charmander,1,0,Lizard Pokémon,Fire,,0.6,8.5,Blaze,,Solar Power,309,39,52,43,60,50,65,45,70,1059860,88.1,5120
5,Charmeleon,1,0,Flame Pokémon,Fire,,1.1,19,Blaze,,Solar Power,405,58,64,58,80,65,80,45,70,1059860,88.1,5120
6,Charizard,1,0,Flame Pokémon,Fire,Flying,1.7,90.5,Blaze,,Solar Power,534,78,84,78,109,85,100,45,70,1059860,88.1,5120
7,Squirtle,1,0,Tiny Turtle Pokémon,Water,,0.5,9,Torrent,,Rain Dish,314,44,48,65,50,64,43,45,70,1059860,88.1,5120
8,Wartortle,1,0,Turtle Pokémon,Water,,1,22.5,Torrent,,Rain Dish,405,59,63,80,65,80,58,45,70,1059860,88.1,5120
9,Blastoise,1,0,Shellfish Pokémon,Water,,1.6,85.5,Torrent,,Rain Dish,530,79,83,100,85,105,78,45,70,1059860,88.1,5120
10,Caterpie,1,0,Worm Pokémon,Bug,,0.3,2.9,Shield Dust,,Run Away,195,45,30,35,20,20,45,255,70,1000000,50,3840
11,Metapod,1,0,Cocoon Pokémon,Bug,,0.7,9.9,Shed Skin,,,205,50,20,55,25,25,30,120,70,1000000,50,3840
12,Butterfree,1,0,Butterfly Pokémon,Bug,Flying,1.1,32,Compound Eyes,,Tinted Lens,395,60,45,50,90,80,70,45,70,1000000,50,3840
13,Weedle,1,0,Hairy Bug Pokémon,Bug,Poison,0.3,3.2,Shield Dust,,Run Away,195,40,35,30,20,20,50,255,70,1000000,50,3840
14,Kakuna,1,0,Cocoon Pokémon,Bug,Poison,0.6,10,Shed Skin,,,205,45,25,50,25,25,35,120,70,1000000,50,3840
15,Beedrill,1,0,Poison Bee Pokémon,Bug,Poison,1,29.5,Swarm,,Sniper,395,65,90,40,45,80,75,45,70,1000000,50,3840
16,Pidgey,1,0,Tiny Bird Pokémon,Normal,Flying,0.3,1.8,Keen Eye,Tangled Feet,Big Pecks,251,40,45,40,35,35,56,255,70,1059860,50,3840
17,Pidgeotto,1,0,Bird Pokémon,Normal,Flying,1.1,30,Keen Eye,Tangled Feet,Big Pecks,349,63,60,55,50,50,71,120,70,1059860,50,3840
18,Pidgeot,1,0,Bird Pokémon,Normal,Flying,1.5,39.5,Keen Eye,Tangled Feet,Big Pecks,479,83,80,75,70,70,101,45,70,1059860,50,3840
19,Rattata,1,0,Mouse Pokémon,Normal,,0.3,3.5,Run Away,Guts,Hustle,253,30,56,35,25,35,72,255,70,1000000,50,3840
19,Alolan Rattata,1,0,Mouse Pokémon,Dark,Normal,0.3,3.8,Gluttony,Hustle,Thick Fat,253,30,56,35,25,35,72,255,70,1000000,50,3840
20,Raticate,1,0,Mouse Pokémon,Normal,,0.7,18.5,Run Away,Guts,Hustle,413,55,81,60,50,70,97,127,70,1000000,50,3840
20,Alolan Raticate,1,0,Mouse Pokémon,Dark,Normal,0.7,25.5,Gluttony,Hustle,Thick Fat,413,75,71,70,40,80,77,127,70,1000000,50,3840
21,Spearow,1,0,Tiny Bird Pokémon,Normal,Flying,0.3,2,Keen Eye,,Sniper,262,40,60,30,31,31,70,255,70,1000000,50,3840
22,Fearow,1,0,Beak Pokémon,Normal,Flying,1.2,38,Keen Eye,,Sniper,442,65,90,65,61,61,100,90,70,1000000,50,3840
23,Ekans,1,0,Snake Pokémon,Poison,,2,6.9,Intimidate,Shed Skin,Unnerve,288,35,60,44,40,54,55,255,70,1000000,50,5120
24,Arbok,1,0,Cobra Pokémon,Poison,,3.5,65,Intimidate,Shed Skin,Unnerve,448,60,95,69,65,79,80,90,70,1000000,50,5120
25,Pikachu,1,0,Mouse Pokémon,Electric,,0.4,6,Static,,Lightning Rod,320,35,55,40,50,50,90,190,70,1000000,50,2560
26,Raichu,1,0,Mouse Pokémon,Electric,,0.8,30,Static,,Lightning Rod,485,60,90,55,90,80,110,75,70,1000000,50,2560
26,Alolan Raichu,1,0,Mouse Pokémon,Electric,Psychic,0.7,21,Surge Surfer,,,485,60,85,50,95,85,110,75,70,1000000,50,2560
27,Sandshrew,1,0,Mouse Pokémon,Ground,,0.6,12,Sand Veil,,Sand Rush,300,50,75,85,20,30,40,255,70,1000000,50,5120
27,Alolan Sandshrew,1,0,Mouse Pokémon,Ice,Steel,0.7,40,Snow Cloak,,Slush Rush,300,50,75,90,10,35,40,255,70,1000000,50,5120
28,Sandslash,1,0,Mouse Pokémon,Ground,,1,29.5,Sand Veil,,Sand Rush,450,75,100,110,45,55,65,90,70,1000000,50,5120
28,Alolan Sandslash,1,0,Mouse Pokémon,Ice,Steel,1.2,55,Snow Cloak,,Slush Rush,450,75,100,120,25,65,65,90,70,1000000,50,5120
29,Nidoran♀,1,0,Poison Pin Pokémon,Poison,,0.4,7,Poison Point,Rivalry,Hustle,275,55,47,52,40,40,41,235,70,1059860,0,5120
30,Nidorina,1,0,Poison Pin Pokémon,Poison,,0.8,20,Poison Point,Rivalry,Hustle,365,70,62,67,55,55,56,120,70,1059860,0,5120
31,Nidoqueen,1,0,Drill Pokémon,Poison,Ground,1.3,60,Poison Point,Rivalry,Sheer Force,505,90,92,87,75,85,76,45,70,1059860,0,5120
32,Nidoran♂,1,0,Poison Pin Pokémon,Poison,,0.5,9,Poison Point,Rivalry,Hustle,273,46,57,40,40,40,50,235,70,1059860,100,5120
33,Nidorino,1,0,Poison Pin Pokémon,Poison,,0.9,19.5,Poison Point,Rivalry,Hustle,365,61,72,57,55,55,65,120,70,1059860,100,5120
34,Nidoking,1,0,Drill Pokémon,Poison,Ground,1.4,62,Poison Point,Rivalry,Sheer Force,505,81,102,77,85,75,85,45,70,1059860,100,5120
35,Clefairy,1,0,Fairy Pokémon,Fairy,,0.6,7.5,Cute Charm,Magic Guard,Friend Guard,323,70,45,48,60,65,35,150,140,800000,24.6,2560
36,Clefable,1,0,Fairy Pokémon,Fairy,,1.3,40,Cute Charm,Magic Guard,Unaware,483,95,70,73,95,90,60,25,140,800000,24.6,2560
37,Vulpix,1,0,Fox Pokémon,Fire,,0.6,9.9,Flash Fire,,Drought,299,38,41,40,50,65,65,190,70,1000000,24.6,5120
37,Alolan Vulpix,1,0,Fox Pokémon,Ice,,0.6,9.9,Snow Cloak,,Snow Warning,299,38,41,40,50,65,65,190,70,1000000,24.6,5120
38,Ninetales,1,0,Fox Pokémon,Fire,,1.1,19.9,Flash Fire,,Drought,505,73,76,75,81,100,100,75,70,1000000,24.6,5120
38,Alolan Ninetales,1,0,Fox Pokémon,Ice,Fairy,1.1,19.9,Snow Cloak,,Snow Warning,505,73,67,75,81,100,109,75,70,1000000,24.6,5120
39,Jigglypuff,1,0,Balloon Pokémon,Normal,Fairy,0.5,5.5,Cute Charm,Competitive,Friend Guard,270,115,45,20,45,25,20,170,70,800000,24.6,2560
40,Wigglytuff,1,0,Balloon Pokémon,Normal,Fairy,1,12,Cute Charm,Competitive,Frisk,435,140,70,45,85,50,45,50,70,800000,24.6,2560
41,Zubat,1,0,Bat Pokémon,Poison,Flying,0.8,7.5,Inner Focus,,Infiltrator,245,40,45,35,30,40,55,255,70,1000000,50,3840
42,Golbat,1,0,Bat Pokémon,Poison,Flying,1.6,55,Inner Focus,,Infiltrator,455,75,80,70,65,75,90,90,70,1000000,50,3840
43,Oddish,1,0,Weed Pokémon,Grass,Poison,0.5,5.4,Chlorophyll,,Run Away,320,45,50,55,75,65,30,255,70,1059860,50,5120
44,Gloom,1,0,Weed Pokémon,Grass,Poison,0.8,8.6,Chlorophyll,,Stench,395,60,65,70,85,75,40,120,70,1059860,50,5120
45,Vileplume,1,0,Flower Pokémon,Grass,Poison,1.2,18.6,Chlorophyll,,Effect Spore,490,75,80,85,110,90,50,45,70,1059860,50,5120
